,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Year,id,SalaryCap
4448,LouWilliams,SG,22,PHI,81,0,23.7,4.1,10.4,.398,0.8,2.7,.286,3.4,7.7,.438,.435,3.8,4.8,.790,0.4,1.6,2.0,3.0,1.0,0.2,1.9,1.6,12.8,,2009,LouWilliams2009,"$58,680,000"
4449,MarcusWilliams,PG,23,GSW,9,0,6.0,0.4,1.9,.235,0.2,0.7,.333,0.2,1.2,.182,.294,0.2,0.7,.333,0.0,0.4,0.4,1.4,0.1,0.1,0.4,0.7,1.3,"$1,262,520",2009,MarcusWilliams2009,"$58,680,000"
4450,MarvinWilliams,SF,22,ATL,61,59,34.3,4.7,10.2,.458,0.9,2.5,.355,3.8,7.7,.493,.502,3.6,4.5,.806,1.8,4.5,6.3,1.3,0.9,0.6,1.1,2.1,13.9,"$5,636,143",2009,MarvinWilliams2009,"$58,680,000"
4451,MoWilliams,PG,26,CLE,81,81,35.0,6.5,13.9,.467,2.3,5.2,.436,4.2,8.7,.486,.548,2.6,2.8,.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7,17.8,,2009,MoWilliams2009,"$58,680,000"
4452,SeanWilliams,PF,22,NJN,33,0,11.1,0.9,2.2,.417,0.0,0.0,,0.9,2.2,.417,.417,0.6,1.0,.625,1.0,1.4,2.4,0.4,0.2,0.9,0.6,2.2,2.4,"$1,522,920",2009,SeanWilliams2009,"$58,680,000"
4453,ShawneWilliams,SF,22,DAL,15,0,11.3,1.1,3.7,.286,0.1,1.1,.059,1.0,2.6,.385,.295,0.6,0.7,.818,1.3,1.8,3.1,0.1,0.1,0.6,0.3,1.3,2.8,"$1,572,960",2009,ShawneWilliams2009,"$58,680,000"
4454,SheldenWilliams,PF,25,TOT,45,0,11.4,1.6,3.5,.446,0.0,0.0,.000,1.6,3.4,.452,.446,1.0,1.4,.730,1.1,2.3,3.4,0.3,0.5,0.4,0.8,1.4,4.1,"$3,395,760",2009,SheldenWilliams2009,"$58,680,000"
4455,MettaWorldPeace,SF,29,HOU,69,55,35.5,6.0,15.0,.401,2.2,5.6,.399,3.8,9.5,.402,.475,2.8,3.8,.748,0.9,4.3,5.2,3.3,1.5,0.3,2.0,2.2,17.1,"$7,400,000",2009,MettaWorldPeace2009,"$58,680,000"
4456,AntoineWright,SF,24,DAL,65,53,23.9,2.8,6.6,.415,0.7,2.3,.302,2.1,4.3,.475,.468,1.1,1.5,.747,0.5,1.6,2.1,1.2,0.7,0.4,0.8,2.6,7.3,"$1,800,000",2009,AntoineWright2009,"$58,680,000"
4457,BrandanWright,PF,21,GSW,39,23,17.6,3.3,6.3,.528,0.0,0.1,.000,3.3,6.2,.537,.528,1.6,2.2,.741,1.6,2.4,4.0,0.5,0.6,0.9,0.6,1.9,8.3,"$2,497,320",2009,BrandanWright2009,"$58,680,000"
4458,DorellWright,SF,23,MIA,6,0,12.2,1.3,3.3,.400,0.0,0.0,,1.3,3.3,.400,.400,0.3,1.0,.333,0.3,3.0,3.3,0.3,0.3,0.0,1.0,1.3,3.0,"$2,612,835",2009,DorellWright2009,"$58,680,000"
4459,JulianWright,SF,21,NOH,54,19,14.3,2.0,4.3,.466,0.0,0.4,.095,2.0,3.9,.502,.470,0.3,0.6,.567,0.9,2.0,2.8,0.8,0.6,0.4,0.8,0.9,4.4,"$1,869,600",2009,JulianWright2009,"$58,680,000"
4460,LorenzenWright,C,33,CLE,17,2,7.4,0.6,1.6,.370,0.0,0.0,,0.6,1.6,.370,.370,0.2,0.5,.375,0.4,1.1,1.5,0.2,0.2,0.3,0.5,1.0,1.4,"$1,262,275",2009,LorenzenWright2009,"$58,680,000"
4461,NickYoung,SG,23,WAS,82,5,22.4,4.1,9.2,.444,0.7,2.0,.341,3.4,7.2,.473,.481,2.0,2.4,.850,0.4,1.5,1.8,1.2,0.5,0.2,1.1,1.7,10.9,"$1,602,960",2009,NickYoung2009,"$58,680,000"
4462,ThaddeusYoung,PF,20,PHI,75,71,34.4,6.3,12.8,.495,0.7,2.2,.341,5.6,10.6,.526,.524,1.9,2.5,.735,1.9,3.2,5.0,1.1,1.3,0.3,1.6,2.2,15.3,"$1,968,120",2009,ThaddeusYoung2009,"$58,680,000"
4463,SunYue,SG,23,LAL,10,0,2.8,0.3,1.1,.273,0.0,0.6,.000,0.3,0.5,.600,.273,0.0,0.0,,0.0,0.0,0.0,0.2,0.1,0.1,0.3,1.0,0.6,"$442,114",2009,SunYue2009,"$58,680,000"
4464,ArronAfflalo,SG,24,DEN,82,75,27.1,3.3,7.1,.465,1.3,3.0,.434,2.0,4.1,.488,.557,0.9,1.2,.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,"$1,086,240",2010,ArronAfflalo2010,"$57,700,000"
4465,AlexisAjinca,C,21,CHA,6,0,5.0,0.8,1.7,.500,0.0,0.0,,0.8,1.7,.500,.500,0.0,0.2,.000,0.2,0.5,0.7,0.0,0.2,0.2,0.3,0.8,1.7,"$1,372,080",2010,AlexisAjinca2010,"$57,700,000"
4466,LaMarcusAldridge,PF,24,POR,78,78,37.5,7.4,15.0,.495,0.1,0.2,.313,7.4,14.8,.498,.497,2.9,3.9,.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,"$5,844,827",2010,LaMarcusAldridge2010,"$57,700,000"
4467,JoeAlexander,SF,23,CHI,8,0,3.6,0.1,0.8,.167,0.0,0.1,.000,0.1,0.6,.200,.167,0.3,0.4,.667,0.3,0.4,0.6,0.3,0.1,0.1,0.0,1.1,0.5,"$2,583,360",2010,JoeAlexander2010,"$57,700,000"
4468,MalikAllen,PF,31,DEN,51,3,8.9,0.9,2.3,.397,0.0,0.1,.167,0.9,2.2,.409,.401,0.2,0.3,.923,0.7,0.9,1.6,0.3,0.2,0.1,0.4,1.3,2.1,"$1,300,000",2010,MalikAllen2010,"$57,700,000"
4469,RayAllen,SG,34,BOS,80,80,35.2,5.8,12.2,.477,1.8,5.0,.363,4.0,7.2,.556,.551,2.9,3.2,.913,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3,"$18,776,860",2010,RayAllen2010,"$57,700,000"
4470,TonyAllen,SG,28,BOS,54,8,16.5,2.4,4.7,.510,0.0,0.1,.000,2.4,4.6,.520,.510,1.3,2.2,.605,1.0,1.7,2.7,1.3,1.1,0.4,1.2,2.0,6.1,"$2,500,000",2010,TonyAllen2010,"$57,700,000"
4471,RaferAlston,PG,33,TOT,52,38,27.3,3.0,8.6,.348,1.1,3.2,.345,1.9,5.3,.349,.413,1.1,1.6,.728,0.3,2.2,2.5,3.4,1.0,0.2,1.8,2.0,8.2,"$5,053,133",2010,RaferAlston2010,"$57,700,000"
4472,LouAmundson,PF,27,PHO,79,0,14.8,1.9,3.5,.551,0.0,0.0,.000,1.9,3.5,.553,.551,0.8,1.6,.545,1.6,2.8,4.4,0.4,0.3,0.9,0.7,2.1,4.7,,2010,LouAmundson2010,"$57,700,000"
4473,ChrisAndersen,PF,31,DEN,76,0,22.3,1.9,3.3,.566,0.0,0.0,.000,1.9,3.3,.573,.566,2.2,3.1,.695,1.9,4.4,6.4,0.4,0.6,1.9,0.8,2.3,5.9,"$3,650,000",2010,ChrisAndersen2010,"$57,700,000"
4474,DavidAndersen,C,29,HOU,63,0,14.1,2.3,5.4,.432,0.4,1.2,.346,1.9,4.2,.458,.472,0.7,1.1,.687,0.9,2.4,3.3,0.7,0.2,0.2,0.6,1.9,5.8,"$2,300,000",2010,DavidAndersen2010,"$57,700,000"
4475,AntonioAnderson,SF,24,OKC,1,0,15.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,"$139,968",2010,AntonioAnderson2010,"$57,700,000"
4476,RyanAnderson,PF,21,ORL,63,6,14.5,2.7,6.2,.436,1.2,3.3,.370,1.4,2.8,.514,.536,1.1,1.3,.866,1.1,2.1,3.2,0.6,0.4,0.2,0.9,1.3,7.7,"$1,317,120",2010,RyanAnderson2010,"$57,700,000"
4477,CarmeloAnthony,SF,25,DEN,69,69,38.2,10.0,21.8,.458,0.9,2.7,.316,9.1,19.1,.478,.478,7.4,8.9,.830,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,"$15,779,912",2010,CarmeloAnthony2010,"$57,700,000"
4478,JoelAnthony,C,27,MIA,80,16,16.5,1.0,2.0,.478,0.0,0.0,,1.0,2.0,.478,.478,0.8,1.2,.717,1.5,1.6,3.1,0.2,0.3,1.4,0.6,2.0,2.7,"$825,497",2010,JoelAnthony2010,"$57,700,000"
4479,GilbertArenas,PG,28,WAS,32,32,36.5,7.9,19.3,.411,2.0,5.7,.348,5.9,13.6,.437,.462,4.8,6.5,.739,0.5,3.6,4.2,7.2,1.3,0.3,3.7,3.0,22.6,"$16,192,080",2010,GilbertArenas2010,"$57,700,000"
4480,TrevorAriza,SF,24,HOU,72,71,36.5,5.5,13.9,.394,1.9,5.7,.334,3.6,8.2,.436,.462,2.1,3.2,.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9,"$5,854,000",2010,TrevorAriza2010,"$57,700,000"
4481,HiltonArmstrong,PF-C,25,TOT,33,0,10.2,0.8,2.4,.354,0.0,0.0,.000,0.8,2.4,.359,.354,0.5,1.0,.469,0.8,1.6,2.5,0.6,0.5,0.4,0.7,1.8,2.2,"$2,801,198",2010,HiltonArmstrong2010,"$57,700,000"
4482,CarlosArroyo,PG,30,MIA,72,35,22.0,2.5,5.2,.475,0.1,0.3,.280,2.4,4.9,.489,.484,1.1,1.3,.844,0.4,1.4,1.8,3.1,0.5,0.1,0.8,1.4,6.1,"$1,107,572",2010,CarlosArroyo2010,"$57,700,000"
4483,DarrellArthur,PF,21,MEM,32,1,14.3,2.0,4.6,.432,0.0,0.0,.000,2.0,4.5,.434,.432,0.5,0.9,.567,1.2,2.3,3.4,0.5,0.4,0.4,0.7,1.9,4.5,"$1,050,480",2010,DarrellArthur2010,"$57,700,000"
4484,ChuckyAtkins,PG,35,DET,40,11,16.1,1.4,3.9,.363,0.6,1.8,.301,0.9,2.1,.417,.433,0.6,0.7,.926,0.1,0.6,0.7,2.3,0.4,0.0,0.8,1.3,4.0,"$2,066,455",2010,ChuckyAtkins2010,"$57,700,000"
4485,DJAugustin,PG,22,CHA,80,2,18.4,2.1,5.4,.386,0.9,2.2,.393,1.2,3.2,.381,.467,1.3,1.6,.779,0.1,1.1,1.2,2.4,0.6,0.1,0.9,1.6,6.4,"$2,385,480",2010,DJAugustin2010,"$57,700,000"
4486,JeffAyres,C,22,POR,39,4,10.4,1.1,1.7,.662,0.0,0.0,,1.1,1.7,.662,.662,0.5,0.5,.900,0.6,1.9,2.5,0.0,0.2,0.4,0.3,1.9,2.7,"$457,588",2010,JeffAyres2010,"$57,700,000"
4487,KelennaAzubuike,SF,26,GSW,9,7,25.7,5.3,9.8,.545,1.1,3.0,.370,4.2,6.8,.623,.602,2.1,3.1,.679,1.3,3.2,4.6,1.1,0.6,1.0,0.8,1.8,13.9,"$3,132,000",2010,KelennaAzubuike2010,"$57,700,000"
4488,RenaldoBalkman,SF,25,DEN,13,1,7.0,0.5,1.4,.333,0.0,0.5,.000,0.5,0.8,.545,.333,0.2,0.5,.333,0.3,1.5,1.8,0.5,0.6,0.2,0.5,1.2,1.1,"$2,112,417",2010,RenaldoBalkman2010,"$57,700,000"
4489,MarcusBanks,PG,28,TOR,22,0,11.1,1.8,3.3,.534,0.3,1.1,.292,1.5,2.2,.653,.582,1.1,1.3,.828,0.1,0.9,1.0,1.2,0.5,0.1,0.9,1.4,5.0,"$4,553,793",2010,MarcusBanks2010,"$57,700,000"
4490,LeandroBarbosa,PG,27,PHO,44,5,17.9,3.5,8.3,.425,1.0,3.1,.324,2.5,5.2,.485,.485,1.5,1.7,.877,0.3,1.3,1.6,1.5,0.5,0.3,1.0,1.6,9.5,"$6,600,000",2010,LeandroBarbosa2010,"$57,700,000"
4491,JJBarea,PG,25,DAL,78,18,19.8,3.0,6.8,.440,0.7,2.0,.357,2.3,4.7,.476,.493,1.0,1.2,.844,0.2,1.7,1.9,3.3,0.4,0.1,1.3,1.5,7.6,,2010,JJBarea2010,"$57,700,000"
4492,AndreaBargnani,PF,24,TOR,80,80,35.0,6.7,14.3,.470,1.5,4.1,.372,5.2,10.2,.509,.523,2.3,2.9,.774,1.3,4.9,6.2,1.2,0.3,1.4,1.5,2.7,17.2,"$6,527,491",2010,AndreaBargnani2010,"$57,700,000"
4493,MattBarnes,SF,29,ORL,81,58,25.9,3.3,6.9,.487,0.8,2.6,.319,2.5,4.3,.586,.546,1.3,1.8,.740,1.3,4.2,5.5,1.7,0.7,0.4,1.4,2.3,8.8,"$1,600,000",2010,MattBarnes2010,"$57,700,000"
4494,EarlBarron,C,28,NYK,7,6,33.1,4.3,9.7,.441,0.0,0.0,,4.3,9.7,.441,.441,3.1,4.1,.759,4.4,6.6,11.0,1.1,0.6,0.6,1.6,3.4,11.7,,2010,EarlBarron2010,"$57,700,000"
4495,BrandonBass,PF,24,ORL,50,3,13.0,2.4,4.7,.511,0.0,0.0,,2.4,4.7,.511,.511,1.0,1.3,.825,1.1,1.5,2.5,0.4,0.2,0.5,0.6,1.4,5.8,"$4,000,000",2010,BrandonBass2010,"$57,700,000"
4496,TonyBattie,C,33,NJN,15,0,8.9,0.9,2.7,.350,0.1,0.3,.250,0.9,2.4,.361,.363,0.5,0.7,.700,0.3,1.3,1.5,0.2,0.3,0.1,0.2,1.3,2.4,"$6,292,000",2010,TonyBattie2010,"$57,700,000"
4497,ShaneBattier,SG,31,HOU,67,62,32.4,2.7,6.7,.398,1.5,4.2,.362,1.1,2.5,.458,.511,1.1,1.6,.726,1.1,3.6,4.7,2.4,0.8,1.1,1.0,2.1,8.0,"$6,864,200",2010,ShaneBattier2010,"$57,700,000"
4498,NicolasBatum,SF,21,POR,37,25,24.8,3.8,7.2,.519,1.5,3.6,.409,2.3,3.7,.625,.619,1.2,1.4,.843,0.9,2.9,3.8,1.2,0.6,0.7,0.7,2.2,10.1,"$1,118,760",2010,NicolasBatum2010,"$57,700,000"
4499,JerrydBayless,SG,21,POR,74,11,17.6,2.7,6.5,.414,0.4,1.2,.315,2.3,5.3,.437,.444,2.7,3.3,.831,0.2,1.4,1.6,2.3,0.4,0.1,1.3,2.1,8.5,"$2,143,080",2010,JerrydBayless2010,"$57,700,000"
4500,MichaelBeasley,PF,21,MIA,78,78,29.8,6.0,13.3,.450,0.4,1.3,.275,5.6,12.0,.469,.463,2.5,3.1,.800,1.6,4.8,6.4,1.3,1.0,0.6,1.7,2.8,14.8,"$4,638,600",2010,MichaelBeasley2010,"$57,700,000"
4501,RodrigueBeaubois,PG,21,DAL,56,16,12.5,2.8,5.3,.518,0.8,2.0,.409,2.0,3.4,.582,.594,0.8,0.9,.808,0.2,1.2,1.4,1.3,0.5,0.2,1.0,1.5,7.1,"$1,075,440",2010,RodrigueBeaubois2010,"$57,700,000"
4502,MarcoBelinelli,SG,23,TOR,66,1,17.0,2.3,5.7,.406,0.9,2.4,.380,1.4,3.3,.425,.485,1.5,1.8,.835,0.2,1.2,1.4,1.3,0.6,0.1,0.9,1.2,7.1,"$1,547,640",2010,MarcoBelinelli2010,"$57,700,000"
4503,CharlieBell,SG,30,MIL,71,39,22.7,2.4,6.2,.381,1.0,2.8,.365,1.4,3.4,.395,.464,0.7,0.9,.716,0.4,1.4,1.9,1.5,0.5,0.2,0.8,1.9,6.5,"$3,596,000",2010,CharlieBell2010,"$57,700,000"
4504,RajaBell,SG,33,TOT,6,5,30.0,4.7,10.2,.459,2.0,4.5,.444,2.7,5.7,.471,.557,0.5,0.5,1.000,0.8,3.0,3.8,2.2,0.7,0.3,0.8,2.5,11.8,"$5,250,000",2010,RajaBell2010,"$57,700,000"
4505,JonathanBender,SF,29,NYK,25,1,11.7,1.6,4.0,.400,0.6,1.6,.359,1.0,2.4,.426,.470,1.0,1.0,.923,0.6,1.5,2.1,0.6,0.1,0.7,1.1,1.3,4.7,"$801,361",2010,JonathanBender2010,"$57,700,000"
4506,MikeBibby,PG,31,ATL,80,80,27.4,3.4,8.1,.416,1.6,4.1,.389,1.8,4.0,.444,.514,0.9,1.0,.861,0.3,2.1,2.3,3.9,0.8,0.0,1.1,2.0,9.1,"$6,217,617",2010,MikeBibby2010,"$57,700,000"
4507,AndrisBiedrins,C,23,GSW,33,29,23.1,2.5,4.2,.591,0.0,0.0,,2.5,4.2,.591,.591,0.1,0.8,.160,1.9,5.9,7.8,1.7,0.6,1.3,1.0,3.5,5.0,"$9,000,000",2010,AndrisBiedrins2010,"$57,700,000"
4508,ChaunceyBillups,PG,33,DEN,73,73,34.1,5.5,13.2,.418,2.2,5.6,.386,3.4,7.6,.441,.499,6.4,7.0,.910,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5,"$12,100,000",2010,ChaunceyBillups2010,"$57,700,000"
4509,DeJuanBlair,PF,20,SAS,82,23,18.2,3.4,6.0,.556,0.0,0.0,.000,3.4,6.0,.558,.556,1.1,2.0,.547,2.4,4.0,6.4,0.8,0.6,0.5,1.4,2.7,7.8,"$850,000",2010,DeJuanBlair2010,"$57,700,000"
4510,SteveBlake,PG,29,TOT,80,38,27.0,2.7,6.5,.416,1.5,3.7,.395,1.3,2.9,.443,.527,0.5,0.6,.750,0.3,2.1,2.3,4.8,0.7,0.1,1.6,1.5,7.3,"$4,930,000",2010,SteveBlake2010,"$57,700,000"
4511,AndrayBlatche,PF,23,WAS,81,36,27.9,5.9,12.3,.478,0.2,0.5,.295,5.7,11.8,.487,.485,2.1,2.9,.744,2.0,4.3,6.3,2.1,1.0,0.9,2.2,2.7,14.1,"$3,000,000",2010,AndrayBlatche2010,"$57,700,000"
4512,KeithBogans,SF,29,SAS,79,50,19.7,1.5,3.8,.403,0.9,2.5,.357,0.6,1.3,.490,.520,0.5,0.6,.740,0.3,1.9,2.2,1.2,0.6,0.2,0.7,2.0,4.4,"$1,033,342",2010,KeithBogans2010,"$57,700,000"
4513,AndrewBogut,C,25,MIL,69,69,32.3,6.9,13.2,.520,0.0,0.0,.000,6.9,13.2,.521,.520,2.2,3.4,.629,3.0,7.1,10.2,1.8,0.6,2.5,1.9,3.2,15.9,"$10,000,000",2010,AndrewBogut2010,"$57,700,000"
4514,MattBonner,PF,29,SAS,65,8,17.9,2.6,5.7,.446,1.4,3.6,.390,1.2,2.2,.539,.567,0.5,0.7,.729,0.8,2.5,3.3,1.0,0.5,0.4,0.6,1.7,7.0,"$3,240,380",2010,MattBonner2010,"$57,700,000"
4515,JoshBoone,PF,25,NJN,63,28,16.6,1.9,3.5,.525,0.0,0.0,,1.9,3.5,.525,.525,0.3,0.9,.328,2.0,3.0,5.0,0.5,0.5,0.8,0.6,1.8,4.0,"$2,056,968",2010,JoshBoone2010,"$57,700,000"
4516,CarlosBoozer,PF,28,UTA,78,78,34.3,7.9,14.1,.562,0.0,0.0,,7.9,14.1,.562,.562,3.7,4.9,.742,2.3,8.9,11.2,3.2,1.1,0.5,2.7,3.5,19.5,"$13,520,500",2010,CarlosBoozer2010,"$57,700,000"
4517,ChrisBosh,C,25,TOR,70,70,36.1,8.6,16.5,.518,0.1,0.3,.364,8.5,16.2,.521,.522,6.7,8.4,.797,2.9,7.9,10.8,2.4,0.6,1.0,2.4,2.4,24.0,"$15,779,912",2010,ChrisBosh2010,"$57,700,000"
4518,RyanBowen,SF,34,OKC,1,0,8.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,2.0,2.0,1.000,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,"$209,592",2010,RyanBowen2010,"$57,700,000"
4519,EarlBoykins,PG,33,WAS,67,1,16.7,2.6,6.0,.427,0.3,0.9,.317,2.3,5.1,.446,.450,1.1,1.3,.865,0.3,0.9,1.1,2.6,0.4,0.0,1.0,0.7,6.6,"$1,191,180",2010,EarlBoykins2010,"$57,700,000"
4520,EltonBrand,PF,30,PHI,76,57,30.2,5.4,11.3,.480,0.0,0.0,.000,5.4,11.3,.481,.480,2.3,3.1,.738,2.4,3.7,6.1,1.4,1.1,1.1,1.7,3.1,13.1,"$14,858,471",2010,EltonBrand2010,"$57,700,000"
4521,CoreyBrewer,SG,23,MIN,82,82,30.3,5.0,11.6,.431,1.0,2.9,.346,4.0,8.7,.459,.474,2.0,3.1,.648,0.9,2.5,3.4,2.4,1.4,0.4,2.0,2.7,13.0,"$2,916,120",2010,CoreyBrewer2010,"$57,700,000"
4522,RonnieBrewer,SG,24,TOT,58,53,30.0,3.6,7.4,.487,0.1,0.5,.258,3.5,6.9,.505,.497,1.5,2.3,.639,0.8,2.4,3.2,2.7,1.6,0.3,0.9,1.4,8.8,"$2,717,161",2010,RonnieBrewer2010,"$57,700,000"
4523,PrimozBrezec,C,30,TOT,21,0,4.5,0.4,1.2,.346,0.0,0.0,,0.4,1.2,.346,.346,0.0,0.3,.167,0.6,0.6,1.2,0.0,0.0,0.1,0.1,0.9,0.9,"$1,107,572",2010,PrimozBrezec2010,"$57,700,000"
4524,JonBrockman,PF,22,SAC,52,4,12.6,1.1,2.0,.534,0.0,0.0,,1.1,2.0,.534,.534,0.7,1.2,.597,2.0,2.1,4.1,0.4,0.3,0.1,0.4,2.2,2.8,"$457,588",2010,JonBrockman2010,"$57,700,000"
4525,AaronBrooks,PG,25,HOU,82,82,35.6,7.0,16.2,.432,2.5,6.4,.398,4.5,9.8,.454,.511,3.0,3.6,.822,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6,"$1,118,520",2010,AaronBrooks2010,"$57,700,000"
4526,BobbyBrown,PG,25,TOT,45,0,11.5,2.0,5.3,.371,0.6,2.2,.265,1.4,3.1,.446,.426,0.3,0.3,.867,0.2,0.6,0.8,2.0,0.3,0.0,1.0,0.9,4.8,"$736,420",2010,BobbyBrown2010,"$57,700,000"
4527,DerrickBrown,SF,22,CHA,57,0,9.4,1.2,2.6,.463,0.0,0.1,.286,1.2,2.5,.471,.469,0.8,1.3,.667,0.5,0.8,1.4,0.3,0.4,0.2,0.3,0.9,3.3,"$457,588",2010,DerrickBrown2010,"$57,700,000"
4528,DevinBrown,SG,31,TOT,50,37,21.2,2.7,7.2,.377,1.2,3.3,.354,1.6,3.9,.396,.457,1.4,1.7,.802,0.6,1.9,2.5,1.3,0.7,0.1,1.2,1.4,8.0,"$1,100,000",2010,DevinBrown2010,"$57,700,000"
4529,KwameBrown,C,27,DET,48,1,13.8,1.3,2.6,.500,0.0,0.0,.000,1.3,2.6,.504,.500,0.7,2.0,.337,1.1,2.6,3.7,0.5,0.3,0.3,0.9,1.9,3.3,"$4,100,000",2010,KwameBrown2010,"$57,700,000"
4530,ShannonBrown,SG,24,LAL,82,7,20.7,3.1,7.2,.427,0.8,2.3,.328,2.3,4.9,.474,.480,1.2,1.5,.818,0.4,1.9,2.2,1.3,0.7,0.4,0.8,1.6,8.1,"$2,000,000",2010,ShannonBrown2010,"$57,700,000"
4531,KobeBryant,SG,31,LAL,73,73,38.8,9.8,21.5,.456,1.4,4.1,.329,8.5,17.4,.487,.488,6.0,7.4,.811,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0,"$23,034,375",2010,KobeBryant2010,"$57,700,000"
4532,ChaseBudinger,SF,21,HOU,74,4,20.1,3.4,7.6,.441,1.2,3.4,.369,2.1,4.3,.497,.522,0.9,1.2,.770,0.5,2.5,3.0,1.2,0.5,0.1,0.6,1.1,8.9,"$457,588",2010,ChaseBudinger2010,"$57,700,000"
4533,CaronButler,SF-SG,29,TOT,74,74,37.6,6.1,14.2,.428,0.6,2.0,.290,5.5,12.2,.450,.448,3.6,4.3,.838,1.4,4.8,6.2,2.1,1.6,0.3,2.2,2.6,16.3,"$9,780,970",2010,CaronButler2010,"$57,700,000"
4534,RasualButler,SF,30,LAC,82,64,33.0,4.3,10.6,.409,1.8,5.3,.336,2.6,5.3,.482,.493,1.5,1.8,.841,0.5,2.5,2.9,1.4,0.4,0.8,1.0,1.5,11.9,"$3,945,000",2010,RasualButler2010,"$57,700,000"
4535,AndrewBynum,C,22,LAL,65,65,30.4,6.0,10.6,.570,0.0,0.0,.000,6.0,10.6,.571,.570,3.0,4.0,.739,2.7,5.6,8.3,1.0,0.5,1.4,1.8,3.0,15.0,"$12,526,998",2010,AndrewBynum2010,"$57,700,000"
4536,WillBynum,PG,27,DET,63,20,26.5,3.8,8.5,.444,0.2,0.9,.218,3.6,7.6,.470,.455,2.3,2.8,.798,0.4,1.9,2.3,4.5,0.9,0.1,1.8,2.3,10.0,"$825,497",2010,WillBynum2010,"$57,700,000"
4537,JoseCalderon,PG,28,TOR,68,39,26.7,4.0,8.4,.482,1.0,2.5,.398,3.0,5.8,.519,.542,1.2,1.5,.798,0.3,1.8,2.1,5.9,0.7,0.1,1.5,2.0,10.3,"$8,219,009",2010,JoseCalderon2010,"$57,700,000"
4538,MarcusCamby,PF-C,35,TOT,74,74,31.3,3.2,6.8,.475,0.0,0.1,.286,3.2,6.7,.478,.477,1.1,1.6,.639,3.4,8.4,11.8,2.5,1.3,2.0,1.2,2.2,7.5,"$7,650,000",2010,MarcusCamby2010,"$57,700,000"
4539,BrianCardinal,PF,32,MIN,29,0,9.2,0.5,1.2,.389,0.1,0.3,.333,0.4,0.9,.407,.431,0.6,0.6,.944,0.2,0.8,1.0,0.8,0.3,0.1,0.2,1.9,1.7,"$6,750,000",2010,BrianCardinal2010,"$57,700,000"
4540,RodneyCarney,SG,25,PHI,68,0,12.6,1.7,4.1,.401,0.6,2.0,.304,1.1,2.2,.490,.473,0.8,0.9,.825,0.4,1.6,2.0,0.5,0.4,0.3,0.3,1.2,4.7,"$855,189",2010,RodneyCarney2010,"$57,700,000"
4541,DeMarreCarroll,SF,23,MEM,71,1,11.2,1.2,3.1,.396,0.0,0.1,.000,1.2,3.0,.407,.396,0.5,0.7,.623,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1.5,2.9,"$1,009,680",2010,DeMarreCarroll2010,"$57,700,000"
4542,MattCarroll,SG,29,DAL,25,0,4.8,0.7,2.0,.360,0.2,0.8,.211,0.6,1.2,.452,.400,0.2,0.2,1.000,0.2,0.3,0.5,0.2,0.2,0.0,0.3,0.5,1.8,"$4,700,000",2010,MattCarroll2010,"$57,700,000"
4543,AnthonyCarter,PG,34,DEN,54,7,15.9,1.4,3.4,.420,0.3,1.2,.270,1.1,2.2,.500,.467,0.2,0.2,.846,0.3,1.3,1.6,3.0,0.7,0.2,1.1,1.3,3.3,"$1,306,455",2010,AnthonyCarter2010,"$57,700,000"
4544,VinceCarter,SG,33,ORL,75,74,30.8,5.8,13.5,.428,1.6,4.3,.367,4.2,9.2,.456,.486,3.4,4.1,.840,0.4,3.5,3.9,3.1,0.7,0.2,1.4,2.5,16.6,"$16,300,000",2010,VinceCarter2010,"$57,700,000"
4545,OmriCasspi,SF,21,SAC,77,31,25.1,3.9,8.7,.446,1.0,2.6,.369,2.9,6.1,.480,.502,1.5,2.3,.672,1.0,3.6,4.5,1.2,0.7,0.2,1.3,1.6,10.3,"$1,167,000",2010,OmriCasspi2010,"$57,700,000"
4546,MarioChalmers,PG,23,MIA,73,22,24.8,2.5,6.2,.401,1.0,3.2,.318,1.5,3.0,.491,.483,1.1,1.5,.745,0.3,1.5,1.8,3.4,1.2,0.2,1.7,2.4,7.1,"$773,500",2010,MarioChalmers2010,"$57,700,000"
